text,domain,intent,split
change to a male voice,10,144,train
i do not want my phone synced anymore,10,146,test
can yogurt be used for sour cream,3,43,train
how do i place an order for more checks for my bank of america account,1,11,train
i made a transaction recently,1,14,test
what do you engage in during your free time,9,125,test
i lost a card and i need to report it,2,20,val
go ahead and confirm my reservation for kevin at red robin,3,32,train
i am needing for you to say that again,10,143,train
when does milk will go bad,3,31,test
give me a joke about the subject of bugs,9,132,test
do you have hobbies,9,125,val
"is the meatloaf still good to eat, i've had it in the refrigerator since last monday",3,31,train
help me to remember to pick up stan later,4,50,test
you were made where,9,128,val
find me a new place for dinner,3,41,train
how do i get to the bowling alley by foot,5,71,val
i'm thankful for your help,9,130,val
which timezone is las vegas in,6,81,train
i want to get a new car insurance plan,8,108,train
what gas is needed for the car,5,73,train
send me more checkbooks please,1,11,test
i haven't heard if my application for a credit card has been accepted or not can you check on it for me,2,27,train
what is my credit card interest rate,1,7,train
i need to know when the next holiday will be,8,107,train
does home have a starbucks nearby,5,71,train
when is the next break,8,107,val
i really need to set a timer,7,96,train
how can you convert miles to kilometers,7,100,train
how old will you be,9,134,test
what steps do i need to take to jump start my car,5,75,val
speak slower please,10,136,train
find me a flight out of la to chicago on march 3rd for under $500,6,87,train
how would i go about converting inches to yards,7,100,train
what is the meaning of the word girn,7,99,test
how much money do i have in checking,1,12,train
tell me what you do in your free time,9,125,train
could i redeem my credit card points on a new tv,2,24,train
get me a picture of a horse,0,0,oos_test
get rid of my to do list,4,48,test
put this song on my reggae playlist,4,53,train
is there someone i can talk to since i am in the airport waiting for my luggage which never came,6,86,train
i gotta know the the carry-on restrictions for american airlines,6,89,test
how many calories does an orange have,3,35,test
where do you come from,9,128,train
what's the amount of points i have earned with my discover card,2,26,train
i want 1234 to be the new pin number for my joint account,1,3,train
what should i squirrel away to pay in taxes,8,112,test
add this song to my top 40 playlist,4,53,train
i need to track my package,4,52,train
what is the interest rate on my barclay card arrival credit card,1,7,train
how many people died in yesterday's storm,0,0,oos_test
spell aaron,7,102,test
what is the carry-on policy for flights on transaero,6,89,test
i wanna know why my card was declined,2,21,train
"hello, i'd like a reservation for two at the olive garden at six tonight",3,39,train
does this car get good mpg on the highway,5,69,train
can the nsa crack the encryption on my iphone,0,0,oos_test
is it possible to have a higher limit on my visa,2,22,train
do my tires need air,5,66,train
would you let me know the status of my american airlines flight,6,79,test
how can i add my signature to the proposed bill legalizing prostitution,0,0,oos_test
do i need new tires,5,74,train
"my card got melted in the dryer and i need to report it, please",2,18,train
"what is the correct routing number for my citizens bank account, pennsylvania",1,2,train
how many different pets do you have,9,124,train
has the apr on my card changed and what is it now,2,23,val
set my oven to 350 please,4,60,train
i think it could be both,10,150,train
share my location to susan,7,95,test
are you a real person or software,9,133,train
take tennis practice off my to do list,4,48,test
can you explain to me how i might boost my credit score,2,19,test
how much did i spend on groceries today,1,13,train
whisper mode off,10,138,train
i want you to add staff meeting to my calendar for march 1 at 10:00 am,4,51,train
plug used in china,6,76,test
what are the steps to change my insurance policy,8,108,test
are you actually a person,9,133,test
how do you get red wine out of the carpet,0,0,oos_test
i need to share my location with trey,7,95,train
i would like to know what you can help with,9,135,test
how long will the wait be at noon if we went to nagomi,3,33,train
make a reminder to do my taxes,4,50,train
could you roll the dice please,7,104,train
how many calories are in vanilla ice cream,3,35,train
and what are the taxes,8,112,train
what is the timezone for houston,6,81,test
can you stop,10,145,train
i want to put you back to original settings,10,149,train
what's your city of origin,9,128,train
why did my card get declined at the dentist office,2,21,train
i want to transfer my 401k,8,114,test
my card got damaged and i need to report it,2,18,train
what's the food can easily get in canada,3,41,test
search up the cast in the walking dead,0,0,oos_test
correct my account pin to 1234 on my checking account,1,3,test
i want to know a fun fact about pluto,9,126,train
is it possible to pay my bill,1,5,train
what is the minimum i can pay on my credit card bill,1,8,test
"""where is improve the credit score",2,19,test
i need to know the difference between inches and centimeters,7,100,train
when do i need to pay my car insurance bill by,1,4,val
what is the mpg,5,69,train
oh yes,10,139,train
i need to know how much money i have in all of my bank accounts,1,12,val
text mary and tell them i'm on my way,7,105,train
how to calculate my interest rate,1,7,train
mashed potato's nutrition,3,36,train
i need to know directions to the nearest gas station,5,71,train
i would like to change my credit limit,2,22,val
has my application for the hsbc card been approved yet,2,27,test
how long does it take to get a replacement credit card when your last one was stolen,2,16,train
i need to know when i was paid last,8,111,train
what do i do with a damaged credit card,2,18,test
is there a better way to check my visa rewards card balance,2,26,train
how much did my last purchase cost,1,14,train
i want to be called timothy,10,147,test
how is the steamed fish at harbor village,3,38,val
"where is the closest red lobster to my location right now, which is 5th avenue",5,71,val
roll the dice,7,104,train
can i get a car to the baseball field for 12,5,64,train
where do i report that my card was lost,2,20,test
can you increase how much i can spend on my visa,2,22,train
"could you check if my order has been delivered, please",4,52,train
start a countdown for 20 minutes,7,96,train
what date do i get my next paycheck,8,111,train
can you check if meeting rooms are available between 4 and 5,8,118,test
how old are you in 2019,9,134,val
what are my finances like lately,1,13,test
will you add what i'm listening to to my bedroom playlist,4,53,train
